adiposity	adiposity.coefficient.of.variation	average.adiposity..liver.	average.fat.mass..liver.	average.lean.mass..liver.	average.total.mass..liver.	Body.Weight	Col.C22.6.	fat.mass	FFA.C14.0.	FFA.C16.0.	FFA.C16.1.	FFA.C18.0.	FFA.C18.1.	FFA.C18.2.	FFA.C18.3.	FFA.C20.1.	FFA.C20.2.	FFA.C20.3.a	FFA.C20.3.b	FFA.C20.4.	FFA.C20.5.	FFA.C22.4.	FFA.C22.5.	FFA.C22.6.	FFA.C24.4.	FFA.C24.5.	FFA.C24.6.	fibrosed.area	free.fatty.acids	free.fatty.acids..pre.bleed.	free.fluid	G.CSF	Glucose	Glucose..pre.bleed.	GM.CSF	Gonadal.Fat	GRAN	GRAN..	HCT	HDL	HDL..pre.bleed.	HGB	HOMA.IR	HOMA.IR..pre.bleed.	IFNr	IL.10	IL.12..p40.	IL.12..p70.	IL.13	IL.15	IL.1a	IL.1b	IL.2	IL.4	IL.6	IL.7	Insulin	Insulin..pre.bleed.	IP.10	KC	Kidney..left.	lean.mass	lesion.area	Liver...body.weight	Liver.collagen	Liver.Total	LiverHist	LiverLipids	LiverMetab	LiverNMR	LiverResidual	LiverRNA	LiverSpare	LYM	LYM..	M.CSF	MCH	MCHC	MCP.1	MCV	MIG	MIP.1a	MIP.1b	MIP.2	MONO	MONO..	MPV	phospholipids..liver.	PLT	RANTES	RBC	RBC.Time	RDW..	RDWa	Spleen	TNFa	total.cholesterol	total.cholesterol..liver.	total.cholesterol..pre.bleed.	total.liver.weighed	triglycerides	triglycerides..liver.	triglycerides..pre.bleed.	unesterified.cholesterol	unesterified.cholesterol..liver.	unesterified.cholesterol..pre.bleed.	VLDL.LDL	VLDL.LDL..pre.bleed.	WBC	WBC.Time
1791	0.144852758867267	0.107644973	0.170118961	0.238666667	1.164666667	1.403333333	24.27	NA	3.62803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	0.252661	147	140	165	0	0.3	1.3	24.6	35.3	47	5	11.9	1.34177365	3.641069633	0	0	0	0	0	0	0	0	0	0	0	0	162	373	208	140	0.14	21.4183	NA	0.092707046	0.14	2.25	0.12	0.13	0.19	1.44	0	0.08	0.15	3.9	70.4	0	13.6	33.8	4.96	40.3	107	0	0	0	0.4	5	5.8	NA	287	9.22	8.77	15.89	19.6	27.7	0.13	0	577	NA	54	2.31	124	NA	99	NA	NA	19	530	49	5.6	10.74
1773	0.314002748501309	0.042249003	0.248114214	0.498333333	1.51	2.008333333	34.45	4.86472822886327	11.6073	NA	195.752126454377	25.2757182526925	25.0421671127705	856.835436608301	63.5533346244504	1.15448574847796	12.5365651660392	3.21132817392719	12.9859741777072	22.761504844896	249.222952208787	1.79144340281062	21.0709130706881	9.45439784979609	44.3915251899428	0.888202062430549	NA	NA	1.635221486	NA	35	-0.0086771	240	302	216	0	1.38	2.5	18.9	39.5	27	7	14	16.97331835	10.67029521	0	0	0	0	0	0	0	0	0	0	0	0	950	835	210	70.96	0.17	25.3583	NA	0.094920174	0.22	3.27	0.14	0.18	0.23	2.1	0	0.11	0.29	10.4	76.2	0	14.1	35.5	0	39.9	141	0	0	0	0.7	4.9	5.8	NA	474	0	9.89	15.87	20.9	28.5	0.19	0	727	NA	101	3.38	463	NA	230	NA	NA	35	700	94	13.6	10.67
1750	0.361268088772596	0.02392876	0.290698322	0.439666667	1.072666667	1.512333333	29.02	NA	11.3216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.051546486	NA	63	-0.0746762	291	286	222	0	1.12	1.9	19.4	31.3	0	15	11.6	13.4006981	21.3292315	0	0	0	0	0	0	0	0	0	0	0	0	792	1624	186	169	0.1	20.0169	NA	0.083735355	0.21	2.43	0.09	0.2	0.19	1.47	0	0.09	0.18	7.2	73.6	0	14.6	37.1	20.04	39.4	80.14	0	178	0	0.7	7	5.9	NA	261	0	7.95	15.9	19.3	26.5	0.12	0	1305	NA	194	2.49	1194	NA	569	NA	NA	65	1305	179	9.8	10.74
1728	0.15226292461704	0.027691468	0.26593332	0.430666667	1.188666667	1.619333333	24.45	NA	3.73282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.377483783	NA	42	0.355814	249	209	133	0	0.351	1.1	23.9	38.6	39	7	13.5	5.996864462	1.369106076	0	0	0	0	83.01	0	0	0	0	0	5.61	0	485	174	495	465	0.147	20.7828	NA	0.107648262	0.188	2.632	0.18	0.154	0.15	1.69	0	0.08	0.19	3.3	69.8	0	15	35.1	10.78	42.9	231	0	40.2	0	0.3	6.3	6.3	NA	346	60.83	9	15.94	17.9	28	0.101	0	495	NA	59	2.71	108	NA	80	NA	NA	19	456	52	4.7	10.73
1727	0.167215744693042	0.002496902	0.264939531	0.412333333	1.144	1.556333333	23.07	NA	3.73568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.294171857	NA	41	0.241646	186	191	128	0	0.303	1.8	23.5	36.8	34	7	12.6	3.593326628	9.518783648	0	0	0	6.11	0	0	0	0	0	0	0	0	318	1257	234	764	0.133	18.6048	NA	0.111183355	0.201	2.565	0.2	0.204	0.17	1.53	0	0.09	0.17	5.4	70.2	0	14.4	34.2	0	42.3	128	0	0	0	0.5	6.3	5.7	NA	341	8.26	8.7	15.92	17.9	27.5	0.104	0	381	NA	64	2.65	78	NA	118	NA	NA	19	347	57	7.7	10.72
1712	0.164133307548508	0.050904278	0.250368417	0.425	1.272666667	1.697666667	27.56	NA	4.45585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	0.0311004	227	171	123	0	0.454	1.1	19.5	35.4	37	11	12.7	2.407738271	2.561438798	0	0	0	0	0	0	0	0	0	0	0	0	238	352	199	202	0.149	22.6919	NA	0.095718433	0.174	2.638	0.08	0.164	0.16	1.76	0	0.09	0.21	4.4	75.2	0	14.6	35.9	0	40.8	99.31	0	0	0	0.4	5.3	5.4	NA	364	0	8.68	15.93	18.4	27.3	0.164	0	343	NA	65	2.76	103	NA	75	NA	NA	21	306	54	5.9	10.76
1711	0.169167916436716	0.027711595	0.267446245	0.47	1.287333333	1.757333333	28.17	NA	4.94738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	0.239943	247	201	121	0	0.459	2.1	22.8	38.8	39	9	13.5	1.914512217	2.548423357	0	0	0	0	0	0	0	0	0	0	0	0	161	356	201	231	0.16	24.298	NA	0.09886404	0.231	2.785	0.16	0.174	0.16	1.79	0	0.08	0.19	6.6	72	8.49	14.1	34.7	7.81	40.6	88.77	0	57.74	0	0.5	5.2	5.8	NA	238	0	9.57	15.88	19.8	28.2	0.169	0	567	NA	72	2.86	167	NA	137	NA	NA	23	528	63	9.2	10.73
1708	0.131746893156483	0.08855664	0.176100787	0.102	0.477333333	0.579333333	21.25	21.7912546599389	2.70928	NA	117.604114816658	16.3212563332553	25.1917145472306	678.542145334955	45.1803528712406	NA	11.8363610991158	3.36850618134509	11.0170897627344	26.8979438003597	181.341139266238	1.08210623936216	13.8643213706093	11.556824312668	20.0281954164318	NA	0.681261036154084	NA	0.347905537	NA	35	0.049647	239	192	142	0	1.78	0.8	17.7	39	32	6	14.3	5.804413418	2.175826776	0	0	0	0	0	0	9.91	0	0	0	0	0	511	259	158	496	0.119	17.855	167625	0.056847059	0.118	1.208	0.03	0.1	0.15	0.56	0	0.07	0.18	3.7	77.3	0	14.6	36.8	0	39.8	138	0	0	0	0.4	5	5.6	11.8	490	0	9.8	16	18.4	26.2	0.09	0	1333	38.4	220	1.24	469	99	507	NA	3.5	85	1301	214	4.9	10.73
1707	0.30883683968038	0.078684632	0.318277566	0.398	0.853	1.251	28.4	NA	9.06278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14213362	NA	43	-0.0742866	144	340	200	0	1.212	1.2	26	41	0	11	14.9	43.80997456	6.365733893	0	0	0	0	50.1	0	0	0	0	0	0	0	2178	538	168	426	0.135	20.2821	110750	0.09415493	0.112	2.674	0.12	0.102	0.19	1.2	0	0.8	0.15	3	66.3	0	14.9	36.3	0	41.1	167	0	0	0	0.4	7.7	6.1	13.6	360	0	9.95	15.9	18	27	0.07	0	1003	38.3	185	2.06	640	205	403	NA	4.1	61	1003	174	4.6	10.71
1706	0.14006015620894	0.006896797	0.155100308	0.082666667	0.450333333	0.533	22.02	NA	3.01139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.297537842	NA	46	0.087935	73.27	220	147	0	0.21	2	26.4	37.6	57	8	13.3	4.711589659	1.704549488	0	0	0	0	0	245	0	0	0	0	0	0	362	196	220	59.24	0.121	18.4893	150375	0.055676658	0.122	1.226	0.07	0.134	0.16	0.51	0	0.07	0.16	5.3	67.7	0	14.3	35.4	20.04	40.5	136	0	0	0	0.6	5.9	5.7	NA	118	0	9.28	15.91	17.8	26.3	0.105	0	1643	NA	165	1.32	322	NA	412	NA	NA	60	1586	157	7.9	10.71
1705	0.166060992014324	0.036070915	0.209804425	0.141	0.531	0.672	22.21	NA	3.59855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.572258261	NA	41	0.227385	352	198	160	0	0.281	0.9	19	39.4	44	8	14.1	6.009229131	1.949949713	0	0	0	0	0	58.66	0	0	0	0	0	0	513	206	167	593	0.114	18.0715	103875	0.06096353	0.144	1.354	0.06	0.09	0.15	0.67	0	0.08	0.16	3.8	75.5	0	14.8	35.7	0	41.5	151	0	32.09	0	0.4	5.5	5.6	NA	531	5.4	9.5	15.89	18.2	27.3	0.114	0	1780	NA	169	1.43	473	NA	463	NA	NA	60	1736	161	5.1	10.72
1679	0.236526305432716	0.042298342	0.227308703	0.396333333	1.347333333	1.743666667	24.94	NA	5.36089	NA	176.672401793499	42.946285578269	19.4637613290316	762.354523980161	63.9259832292817	NA	9.4565945765536	2.80750413317223	14.6129306843084	23.1140962518143	195.891096409638	1.7055318532394	20.2693353548577	8.10210423097124	36.0513004939109	0.655719042604662	0.698771302977695	NA	2.707850584	NA	27	-0.0463381	138	171	141	0	0.485	0	0	30.9	65	11	11.1	4.360231911	2.327338342	0	0	0	0	31.5	2822	0	0	0	0	0	209	431	279	640	1936	0.11	17.3042	10688	0.113472334	0.19	2.83	0.2	0.21	0.19	1.77	0	0.07	0.2	0	0	5.62	14.5	35.9	79.89	40.4	461	22.82	105	0	0	0	6.2	11.1	205	0	7.65	15.93	17.6	26	0.114	11.41	521	44.4	77	2.88	126	163	75	NA	3.9	22	456	66	0	NA
1659	0.305549901267723	0.059519314	0.200856723	0.240666667	0.957333333	1.198	29.37	6.19409810076681	9.08149	NA	NA	9.87497541851538	13.1560210437407	461.70662898361	28.952127573969	NA	4.74394288305057	1.43357228415746	7.80211870840109	16.3742274396781	240.175723620781	1.4143015871758	9.91100324330718	5.4301472668758	18.2552150363663	NA	NA	NA	0.374464934	NA	66	-0.0992386	138	304	149	0	1.311	1.1	27.4	25.5	47	17	8.6	30.16079986	4.79536177	0	0	0	0	0	0	0	0	0	0	0	0	1677	544	226	709	0.127	20.6403	158750	0.066462377	0.112	1.952	0.06	0.15	0.18	1.23	0	0.06	0.16	2.7	65.6	0	13.5	34	38.79	39.9	128	75.58	127	0	0.4	7	5.6	12.8	164	0	6.39	15.98	17.8	25.6	0.062	0	995	49.5	158	2.01	356	134	224	NA	4.1	39	948	141	4.2	10.73
1658	0.313462790738604	0.132145781	0.202143432	0.235333333	0.927333333	1.162666667	30.22	NA	9.97406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.400300556	NA	78	-0.020491	190	233	182	0	1.283	1.3	32	39	63	18	13.7	9.690528309	11.24108146	0	0	0	0	31.5	0	0	0	0	0	5.69	0	703	1044	295	1304	0.131	21.8449	56813	0.067174057	0.118	2.03	0.13	0.182	0.18	1.2	0	0.06	0.16	2.5	59.3	0	14.1	35.1	104	40.1	165	105	152	0	0.5	8.7	5.5	10.1	429	17.89	9.73	15.97	18	26.2	0.068	0	884	38.5	159	2.11	213	139	479	NA	3.2	47	821	141	4.3	10.75
1647	0.378952371422854	0.046984345	0.228932877	0.282666667	0.952	1.234666667	37.01	18.8530852902281	15.149	NA	61.9708267728232	7.77782964883764	14.7096894668268	505.921081483305	37.2858609393472	NA	8.15507372056494	2.0305162160722	6.65741475580756	12.2972136281307	211.276485481055	0.829936957800063	7.34777140706852	5.65488863519225	21.2888260777509	NA	NA	NA	0.516161291	NA	38	-0.131356	17815	185	201	3682	1.908	0.8	18.6	36.8	85	25	12.5	16.02319115	11.11844051	105	1207	809	7186	3383	101	965	2307	61.24	774	1062	22.13	1464	935	582	3046	0.163	24.827	13438	0.060389084	0.158	2.235	0.16	0.147	0.17	1.27	0	0.1	0.23	3.2	73.2	19822	14.1	34	3823	41.6	75.75	823	2168	5472	0.3	8.2	6.1	13.2	349	33582	8.83	16	16.9	25.8	0.167	803	492	54.8	213	2.32	91	146	344	NA	4	55	407	188	4.3	10.74
1646	0.403253364334531	0.057710774	0.204158871	0.301333333	1.174333333	1.475666667	41.49	NA	18.3148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.585524996	NA	50	-0.143583	142	282	187	0	2.574	1.3	23.8	36.8	62	23	12.8	16.78352955	7.058273679	0	0	0	0	103	0	21.13	0	0	0	0	0	1006	638	228	657	0.172	27.1028	40188	0.064208243	0.175	2.664	0.21	0.289	0.2	1.49	0	0.1	0.2	4	70	0	14.4	34.9	0	41.4	105	35.12	0	0	0.5	6.2	5.9	11.1	259	10.19	8.89	15.96	16.8	25.5	0.11	0	827	51.2	196	2.73	246	144	553	NA	3.9	66	765	173	5.8	10.74
1645	0.366480905731214	0.031644782	0.201134279	0.290666667	1.154333333	1.445	39.69	NA	15.6185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.430509853	NA	50	-0.0342337	46.26	232	218	0	2.144	1.7	24.2	36.8	80	24	12.9	11.17245459	6.925752825	0	0	0	0	0	0	0	0	0	0	0	0	814	537	206	329	0.18	26.999	35375	0.064676241	0.213	2.567	0.2	0.124	0.18	1.55	0	0.1	0.2	5	68.3	0	14.3	35	0	40.9	90.9	0	0	0	0.7	7.5	5.7	11.4	172	0	9.01	16.03	17.1	25.5	0.137	0	749	59	176	2.61	119	118	533	NA	4.5	58	669	152	7.4	10.79
1644	0.419367991845056	0.026762304	0.230849467	0.402333333	1.340333333	1.742666667	42.92	NA	19.9529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.466674482	NA	49	-0.249841	99.4	212	203	0	2.918	2	26.9	38.5	89	28	13.4	18.87593918	19.65988286	0	7.92	0	0	0	0	0	0	0	0	0	0	1505	1637	234	282	0.146	27.6256	38563	0.064771668	0.144	2.78	0.14	0.166	0.23	1.82	0	0.09	0.19	5	65.6	0	14.3	34.8	0	41.1	69.08	27.93	17.81	0	0.7	7.5	5.7	11.4	217	0	9.37	15.94	17.4	26	0.155	0	593	55.5	174	2.82	101	137	519	NA	4.5	60	504	146	7.7	10.74
1632	0.327830602306806	0.09573974	0.160838379	0.168666667	0.880666667	1.049333333	25.12	7.23151085665967	8.97254	NA	112.023346576573	13.3493917181364	26.9844193619566	596.543096781295	58.2527641687263	0.80737033308908	10.6426089361742	2.84123017812657	44.5281544623148	NA	483.636780115651	2.02151263518566	27.7338911955179	13.7808581068476	40.5976259928157	NA	0.707220742068684	NA	0.618469355	NA	46	0.0741654	640	342	233	0	0.835	1.1	25.4	35.3	0	17	13	10.05584807	9.456191209	0	0	0	0	0	0	11.23	0	0	0	0	0	497	686	231	316	0.099	18.3969	67750	0.072531847	0.166	1.822	0.13	0.146	0.15	1	0	0.07	0.16	2.9	66.8	0	14.5	37	50.98	39.2	142	22.82	105	0	0.4	7.8	5.8	13.3	201	0	8.99	15.96	18.4	25.6	0.088	0	1195	49.8	162	1.85	605	116	537	NA	4.4	62	1195	145	4.4	10.72
1631	0.366570862718578	0.090739236	0.207379414	0.385	1.472333333	1.857333333	31.01	2.2764257638574	12.142	0.784240541096927	155.0307673798	26.0261521943692	27.3612811004928	717.523233972178	NA	1.09143834250589	12.9377535593391	3.16723887077657	40.5176177108345	NA	487.368573479071	2.54915098669171	38.9306752223059	14.6494951546901	56.6130102096562	NA	0.778332891069832	NA	1.475135624	NA	41	0	284	303	179	0	1.186	1.5	23.5	30.9	44	17	11.4	7.439211974	6.300952494	0	20.68	0	28.47	0	0	0	0	0	0	10.73	0	415	595	178	120	0.112	20.9812	109250	0.094163173	0.223	2.92	0.2	0.247	0.18	1.82	0	0.09	0.16	4.6	69.3	0	14.1	37	44.92	38	100	0	140	0	0.6	7.2	5.8	13	193	9.22	8.12	15.94	19.8	26	0.151	11.41	1264	62.7	167	2.96	838	142	661	NA	5.3	64	1220	150	6.7	10.73
1630	0.375478757620287	0.12871509	0.194074904	0.345	1.434	1.779	31.74	NA	12.7249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.535704263	NA	49	-0.190527	217	344	230	0	1.521	0.5	19.7	35.9	0	21	13.5	10.96941371	21.67603384	0	0	0	0	56.53	0	30.15	0	0	0	0	0	539	1593	181	778	0.122	21.1649	84000	0.087271582	0.246	2.77	0.16	0.214	0.15	1.72	0	0.09	0.19	2	73.2	0	14.5	37.7	67.16	38.4	79.41	0	47.61	0	0.2	7.1	5.6	12.3	360	0	9.36	15.92	19.3	25.3	0.137	0	1099	54.1	219	2.84	813	172	634	NA	4.6	77	1099	198	2.7	10.74
